company_name,website,sector,contact_name,email,phone,linkedin,location,employee_count,source,ai_score,ai_reason,tag,google_rating
J&L Health - Godalming Podiatry Clinic,http://www.podiatryfootclinic.co.uk/,Podiatry,,podiatry@jandlhealth.co.uk,01483 425437,,"1 Queen St, Godalming GU7 1BA, UK",,Google Places,9,Podiatry clinic requires a clinical space for patient consultations and treatments.,clinic-target,4.9/5 (140 reviews)
Chiropractic Health Centre,https://chiropractic-healthcentre.com/,Chiropractic,,info@chiropractic-healthcentre.com,01483 801160,,"Bridge St, Godalming GU7 1HL, UK",,Google Places,9,Chiropractic practices require clinical space and a quiet environment for client consultations.,clinic-target,5/5 (9 reviews)
Valkyrie Physiotherapy,https://valkyriehq.co.uk/physiotherapy/,Physiotherapy,,,07428 114965,,"Forsyth's Home Farm, Godalming GU8 6AD, UK",,Google Places,9,"Physiotherapy requires clinical space, making it highly suitable for Unit 8.",clinic-target,5/5 (26 reviews)
Empower Lifestyle,http://www.empowerlifestyle.co.uk/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=14567513411954908443,Physiotherapy,,,01483 977682,,"58 Primrose Ridge, Godalming GU7 2NX, UK",,Google Places,9,"Physiotherapy requires a clinical space, making it highly suitable.",clinic-target,5/5 (2 reviews)
Milly King Physio,http://www.millyking-physio.com/,Physiotherapy,,,07470 423690,,"ND Clinical Pilates Surrey, The Holistic Centre",,Google Places,9,Physiotherapy requires a clinical space for client treatment.,clinic-target,
Core Osteo,http://www.coreosteo.co.uk/,Osteopathy,,,07469 934979,,"11 Rush Croft, Godalming GU7 3BL, UK",,Google Places,9,Core Osteo is a health and wellness business that likely requires a clinical space for osteopathy services.,clinic-target,5/5 (18 reviews)
Prime Physiotherapy,http://primephysiotherapy.uk/,Physiotherapy,,us.info@primephysiotherapy.ukUnit,,,"Peasmarsh, Guildford GU3 1AF, UK",,Google Places,9,"Prime Physiotherapy requires clinical space for patient treatment, making it highly suitable for Unit 8.",clinic-target,5/5 (24 reviews)
Recalibrate Physiotherapy - Jay Flitter,https://www.linkedin.com/in/jay-flitter-29137b35/,Physiotherapy,,,07779 288729,,"9 Shackstead Ln, Godalming GU7 1RL, UK",,Google Places,9,Physiotherapy requires a clinical space for client treatment.,clinic-target,
Cornerstone Therapies,https://www.cornerstonetherapies.co.uk/,Massage Therapy,,,01483 418217,,"Mint St, Godalming GU7 1HE, UK",,Google Places,9,"Massage therapy requires a quiet, professional space for client sessions.",wellness,5/5 (8 reviews)
Alyson Ferguson,,Physiotherapy,,,,,"Godalming, GU7 GU1 &",,Google Places,9,Physiotherapy requires a clinical space suitable for client treatment.,clinic-target,5/5 (1 reviews)
The Luna Hive,,Physiotherapy,,,0333 305 8939,,"Godalming GU7 1AW, UK",,Google Places,9,"Physiotherapy requires clinical space, making it highly suitable for Unit 8.",clinic-target,
GW Osteopathy (Godalming),https://www.gwosteopathy.co.uk/,Osteopathy,,,01483 400207,,"Surrey Holistic Centre The Barn, Wiggins Yard",,Google Places,9,"Osteopathy requires a clinical space for patient treatment, making it highly suitable for Unit 8.",clinic-target,5/5 (8 reviews)
Surrey Osteopathic Care,http://www.surreyosteopathiccare.co.uk/,osteopathy,,hello@surreyosteopathiccare.co.uk,01483 789109,,"Bramley, Guildford GU5 0EH, UK",,Google Places,9,Requires clinical space for osteopathy practice,clinic-target,5/5 (168 reviews)
Richard Frost(Osteopath)/Noyce Timothy(Podiatrist),http://www.surrey-osteopathy.co.uk/,Health Clinic,,richardfrost65@hotmail.com,01483 428680,,"16 Church St, Godalming GU7 1EW, UK",,Google Places,9,Health clinic with osteopathy and podiatry services fits well in a clinical space,clinic-target,5/5 (1 reviews)
Luck's Yard Clinic,http://www.lucksyardclinic.com/,Chiropractic,,clinic@lucksyardclinic.com,01483 527945,,"Milford, Godalming GU8 5HZ, UK",,Google Places,9,Chiropractic requires a clinical space for client consultations and treatments.,clinic-target,5/5 (66 reviews)
Guildford Chiropractic Centre,http://guildfordchiropractic.co.uk/,Chiropractic,,,01483 562830,,"Burchatts Farm Barn, Guildford GU1 1TU, UK",,Google Places,9,Chiropractic practice requires a clinical space for client consultations and treatments.,clinic-target,5/5 (300 reviews)
Back to Health Wellness,https://backtohealthwellness.co.uk/,Health & Wellness,,backtohealthwellness09@gmail.com,0800 689 0146,,"51-53 High St, Guildford GU1 3DY, UK",,Google Places,8,Suitable for client-facing health/wellness practices,wellness,4.5/5 (154 reviews)
The Guildford Spine Centre - Chiropractic Clinic,https://www.spinecentreguildford.co.uk/new-patient-offer/,Chiropractic,,,01483 808868,,"229-235 High St, Guildford GU1 3BJ, UK",,Google Places,9,Chiropractic requires a clinical space suitable for client consultations and treatments.,clinic-target,4.9/5 (74 reviews)
The Health Lounge,http://www.thlsurrey.co.uk/,Chiropractic,,,01483 277644,,"77 High St, Cranleigh GU6 8AU, UK",,Google Places,9,Chiropractic practice requires a clinical space for client consultations and treatments.,clinic-target,4.9/5 (61 reviews)
Yvette Mann Podiatry,https://www.yvettemannpodiatry.co.uk/,Podiatry,,enquiries@yvettemannpodiatry.co.uk,01483 310298,,"Milford, Godalming GU8 5HZ, UK",,Google Places,8,Podiatry requires a clinical space for patient consultations and treatments.,clinic-target,5/5 (4 reviews)
GW Osteopathy Surrey,https://www.gwosteopathy.co.uk/,Osteopathy,,,01483 400207,,"Wharf Rd, Guildford GU1 4RP, UK",,Google Places,9,Needs clinical space for client consultations,clinic-target,5/5 (141 reviews)
Vibrant World Chiropractic,http://www.vibrantworld.co.uk/,Chiropractic,,info@vibrantworld.co.uk,07985 310401,https://www.linkedin.com/in/priscillavibrantworld,"36-37 Castle St, Guildford GU1 3UQ, UK",,Google Places,9,Chiropractic practice requires clinical space for client consultations and treatments.,clinic-target,5/5 (3 reviews)
Natural Health Clinic,http://www.castlestreetclinic.com/,Health & Wellness,,enquiries@castlestreetclinic.comNEWONE,01483 300400,,"36-37 Castle St, Guildford GU1 3UQ, UK",,Google Places,9,Suitable for client-facing health/wellness practices,wellness,4.5/5 (10 reviews)
Private GP Clinic Godalming VR Private Clinics,https://www.vrprivateclinic.co.uk/,Private GP Clinic,,,01483 323473,,"Surrey Holistic, The Barn",,Google Places,9,"Private GP clinics require clinical space for consultations, making them highly suitable.",clinic-target,
Mayfield Clinic Godalming | Private GP,http://www.mayfieldclinic.co.uk/,Private GP or small health clinic,,,,,"106 High St, Godalming GU7 1DW, UK",,Google Places,9,Private GP practice requires clinical space and is client-facing.,clinic-target,
Zhila Aesthetic,http://www.zhilaaesthetics.com/,Aesthetic Medicine,,,07548 835155,,"1 Church St, Godalming GU7 1EQ, UK",,Google Places,9,"Aesthetic practices fit well in a professional, client-facing space and require a quiet environment.",wellness,5/5 (38 reviews)
Medicspot Weight Loss Clinic Godalming,https://www.medicspot.co.uk/weight-loss?utm_source=g-local&utm_medium=organic&utm_campaign=rest%20of%20england&utm_content=godalming,Weight Loss Clinic,,,020 3637 8398,,"34-36 High St, Godalming GU7 1DZ, UK",,Google Places,5,Currently a clinic but may outgrow the space,clinic-target,
The Mill Medical Practice,http://www.themillmedicalpractice.co.uk/,medical practice,,,01483 239903,,"Catteshall Rd, Godalming GU7 1JW, UK",,Google Places,3,Large practice likely to outgrow the space,clinic-target,3.7/5 (67 reviews)
Godalming Maternity Hub,https://www.royalsurrey.nhs.uk/discover-our-clinic-sites-and-ward-areas/,Maternity Health,,rsch.surreymeadows@nhs.net,01483 956656 x6657,https://www.linkedin.com/company/rsch/,"Eashing Ln, Godalming GU7 2LF, UK",3,Google Places,1,"NHS clinic, not suitable for private professional space",clinic-target,3.4/5 (5 reviews)
Binscombe Medical Centre,http://www.binscombe.net/,Health Clinic,,,01483 415115,,"106 Binscombe, Godalming GU7 3PR, UK",,Google Places,4,Large health clinic likely to outgrow the space,clinic-target,4.5/5 (100 reviews)
Milford Hospital,https://www.royalsurrey.nhs.uk/milford-hospital,Public Health Clinic,,,01483 956400,https://www.linkedin.com/company/rsch/,"Tuesley Ln, Godalming GU7 1UG, UK",,Google Places,2,NHS public sector clinic not suitable for small professional space,clinic-target,4.4/5 (116 reviews)
Health & Aesthetics Clinic,https://www.healthandaesthetics.co.uk/,Health & Wellness Clinic,,,01252 933133,,"Elstead, Godalming GU8 6LB, UK",,Google Places,9,Suitable for client-facing health and wellness practices with a focus on aesthetics.,clinic-target,4.9/5 (256 reviews)
The Lime Tree Beauty Clinic,http://thelimetreebeautyclinic.co.uk/,Beauty Clinic,,info@thelimetreebeautyclinic.co.uk,01483 861188,,"122 High St, Godalming GU7 1DJ, UK",,Google Places,8,Suitable for client-facing health and wellness practices,wellness,4.8/5 (107 reviews)
Helping Hands Home Care Godalming,https://www.helpinghandshomecare.co.uk/our-locations/godalming/?utm_source=googlemaps&utm_medium=organic&utm_campaign=maplistingGodalming,Home Care Services,,,01483 494475,https://www.linkedin.com/company/helping-hands-homecare/posts/?feedView=all,"6b Queen St, Godalming GU7 1BD, UK",,Google Places,5,Home care services may benefit from a professional space but are primarily focused on in-home services.,wellness,4.1/5 (7 reviews)
Beauty Secrets Spa Godalming,https://www.beautysecretsspa.co.uk/godalming-salon,wellness,,,01483 416438,,"47 Bridge St, Godalming GU7 1HL, UK",,Google Places,6,Wellness-focused but may require more space for spa services,wellness,4.9/5 (425 reviews)
Proactive Prosthetics & Orthotics,https://www.proactiveprosthetics.co.uk/,Prosthetics & Orthotics,,,01252 702500,,"Douglas Dr, Godalming GU7 1JX, UK",,Google Places,8,Requires clinical space for client consultations and fittings,clinic-target,5/5 (5 reviews)
Octavia House Dental Practice,http://www.octaviahousedentalpractice.co.uk/,Dental Practice,,octaviahousedentalpractice@btconnect.com,01483 860020,,"High St, Godalming GU7 1DY, UK",,Google Places,9,Cosmetic dental practice suitable for client-facing health services,clinic-target,4.5/5 (11 reviews)
Godalming Dental,https://www.godalmingdentalpractice.co.uk/,dental practice,,Contactinfo@godalmingdentalpractice.co.uk,01483 976272,,"100 High St, Godalming GU7 1DW, UK",,Google Places,8,Private dental practice suitable for client-facing health services,clinic-target,5/5 (60 reviews)
Mews Dental Clinic - Godalming,https://rodericksdentalpartners.co.uk/our-practices/mews-dental-clinic?keywordutm_medium=organic&utm_campaign=gbp&utm_source=google&utm_content=Mews,Dental,,,01483 414128,,"Station Rd, Godalming GU7 1JE, UK",,Google Places,8,Private dental practice suitable for client-facing health services,clinic-target,4.9/5 (186 reviews)
Notley Dental Care,http://www.notleydentalcare.co.uk/,Dental,,,01483 417102,,"17 Ockford Rd, Godalming GU7 1QU, UK",,Google Places,4,"Dental practices typically require larger, specialized facilities and equipment.",clinic-target,4.9/5 (272 reviews)
8 To 8 Dental Practice,http://www.8to8.co.uk/,Cosmetic dentistry,,,01483 417853,,"4 Wharf St, Godalming GU7 1NN, UK",,Google Places,9,Private dental practice suitable for client-facing health services,clinic-target,5/5 (35 reviews)
Lakeside Dental Practice,http://www.lakesidedentalpractice.co.uk/,Cosmetic dentists or private dental practices,,,01483 421376,,"1 Shackstead Ln, Godalming GU7 1RL, UK",,Google Places,9,Suitable for client-facing health practice with a focus on dental services,clinic-target,4.9/5 (34 reviews)
Iosis Dental Clinic - Godalming,http://www.iosisclinic.co.uk/,Dental,,,01483 429435,,"52 Binscombe Cres, Godalming GU7 3RB, UK",,Google Places,8,Suitable for client-facing health practice with professional space requirements.,clinic-target,4.8/5 (332 reviews)
Surrey Orthodontics in Godalming,https://surreyortho.co.uk/,Dental,,,01483 421511,,"115 High St, Godalming GU7 1AQ, UK",,Google Places,4,Dental practice may require larger space and specialized equipment.,clinic-target,4.9/5 (64 reviews)
Hurst Farm Dental Practice,https://hurstfarmdental.co.uk/,Dental Practice,,,01483 426223,,"Milford, Godalming GU8 5HU, UK",,Google Places,8,Private dental practice suitable for client-facing health services,clinic-target,4.9/5 (20 reviews)
Mr A O Reeves,,Cosmetic dentists,,,01483 414128,,"Station Road Wharf Street, Godalming GU7 1JE, UK",,Google Places,8,Private dental practice suitable for client-facing health services,clinic-target,
Notley Facial Aesthetics,https://www.notleydentalcare.co.uk/facial-aesthetics/,Cosmetic aesthetics,,,01483 417102,,"17 Ockford Rd, Godalming GU7 1QU, UK",,Google Places,9,Suitable for client-facing health/wellness practices and requires a professional space.,wellness,5/5 (29 reviews)
Godalming Pharmacy,https://www.godalmingpharmacy.co.uk/,Pharmacy,,,01483 416696,,"34-36 High St, Godalming GU7 1DZ, UK",,Google Places,3,Retail-focused business with a pharmacy model,wellness,4.8/5 (89 reviews)
Witley Dental Surgery,https://www.witleydentalpractice.co.uk/,Dental,,,01428 684284,,"Witley, Godalming GU8 5NA, UK",,Google Places,8,Private dental practice suitable for client-facing health services,clinic-target,4.6/5 (8 reviews)
Kamsons Pharmacy,https://www.kamsons.co.uk/pharmacy/godalming/,Pharmacy,,,01483 420002,,"Catteshall Rd, Godalming GU7 1NJ, UK",,Google Places,2,Retail-focused business and not suitable for client-facing health practices,retail,4.7/5 (37 reviews)
Ive Dr P J,,Health & Wellness,,,01483 426223,,"Milford, Godalming GU8 5HU, UK",,Google Places,8,Health & Wellness indicates a client-facing practice suitable for the space,wellness,4/5 (1 reviews)
The Tanshire Clinic,https://www.thetanshireclinic.co.uk/,Dental,,info@thetanshireclinic.co.uk,01252 703800,,"Elstead, Farnham GU8 6LB, UK",,Google Places,8,Private dental practice suitable for client-facing health services,clinic-target,5/5 (98 reviews)
Waterden Dental Practice,http://www.waterdendental.co.uk/,Dental,,,01483 565290,,"4 Waterden Rd, Guildford GU1 2AW, UK",,Google Places,8,Private dental practice suitable for client-facing health services,clinic-target,4.9/5 (273 reviews)
Levitas Dental Clinic part of the Levitas Group (Formerly known as The Mews Dental),https://levitasdentalclinic.com/?utm_source=local&utm_medium=organic&utm_content=gmb,Dental,,,01483 904555,,"116 London Rd, Guildford GU1 1TN, UK",,Google Places,8,Private dental practice suitable for client-facing health services,clinic-target,5/5 (87 reviews)
Specialist Dental,http://www.specialistdental.co.uk/,Dental,,,01483 504705,,"25-27 Chertsey St, Guildford GU1 4HD, UK",,Google Places,8,Private dental practice suitable for client-facing health services,clinic-target,4.9/5 (121 reviews)
Tooth Club - Guildford,https://www.toothclub.co.uk/tooth-club-guildford/,Dental,,,0333 241 9130,,"45 High St, Guildford GU1 3DY, UK",,Google Places,6,Small dental practice suitable for client-facing services but may require more space for equipment and patient flow.,clinic-target,4.8/5 (37 reviews)
Eastgate Dental Clinic,http://www.eastgatedentalclinic.co.uk/,Dental,,,01483 573889,,"221-227 High St, Guildford GU1 4AZ, UK",,Google Places,4,"Dental practices typically require larger, purpose-built facilities.",clinic-target,5/5 (120 reviews)
Church Street Podiatry Ltd,http://churchstreetpodiatry.com/,Podiatry,,julienoyce@btinternet.com,01483 428680,,"16 Church St, Godalming GU7 1EW, UK",,Google Places,9,Podiatry requires a clinical space for patient consultations and treatments.,clinic-target,5/5 (2 reviews)
Orthoticity Ltd,,Health Clinic,,,01483 339960,,"34-36 High St, Godalming GU7 1DZ, UK",,Google Places,9,Suitable as a health clinic needing a professional space for client consultations.,clinic-target,
The Eaves Counselling and Psychology Godalming,http://www.theeaves.org.uk/,Psychotherapy and Counselling,,chrispapa11@gmail.com,01483 418245,https://www.linkedin.com/company/the-eaves-counselling-and-psychological-services-limited/,"Catteshall Rd, Godalming GU7 1NJ, UK",,Google Places,9,Suitable for client-facing therapeutic practices,wellness,5/5 (2 reviews)
TriciaSlaterCounselling,http://www.triciaslatercounselling.com/,Mental health professionals,,,07539 312692,,"High St, Godalming GU7 1AB, UK",,Google Places,9,"Counselling requires a quiet, professional space for client sessions.",wellness,5/5 (5 reviews)
Julia Haygreen Ltd,https://www.juliahaygreen.com/,Health & Wellness,,,07855 033993,,"Farncombe, Godalming GU7 2HU, UK",,Google Places,8,Offers health and wellness services suitable for client-facing practices,wellness,5/5 (2 reviews)
Michele Atkin Counselling,http://www.micheleatkincounselling.com/,Mental Health,,,07791 438186,,"Wiggins Yard, Godalming GU7 1HW, UK",,Google Places,9,Counselling is a client-facing health practice that fits well in a professional and quiet space.,wellness,5/5 (1 reviews)
"Laurie Harvey Cognitive Hypnotherapist Godalming, Surrey and Online",https://www.laurieharvey.co.uk/,Hypnotherapy,,,01483 527945,,"Bridge St, Godalming GU7 1HL, UK",,Google Places,9,Cognitive hypnotherapy is a client-facing health practice that fits well in a professional and quiet space.,wellness,5/5 (25 reviews)
"Gill Brennan Counselling, Godalming",http://www.godalmingcounsellor.com/,Mental Health,,,07947 424538,,"51 Maplehatch Cl, Godalming GU7 1TH, UK",,Google Places,9,"Counselling is a client-facing health practice suitable for a quiet, professional space.",wellness,
The Psychology Company,https://thepsychologycompany.co.uk/psychology-clinic-locations/psychologist-therapist-godalming/?utm_source=google&utm_medium=organic&utm_campaign=gmb-godalming,Psychotherapy,,,01483 363058,,"Borough Rd, Godalming GU7 2AE, UK",,Google Places,9,"Psychology Company provides mental health services, making it a good fit for a client-facing therapeutic practice.",wellness,
Natalie Diamond Cognitive Hypnotherapy and NLP,http://www.nataliediamond.co.uk/,Cognitive Hypnotherapy,,,07957 181248,,"Surrey Holistic The Barn, Wiggins Yard",,Google Places,8,Suitable for client-facing therapeutic practices in a quiet space,wellness,5/5 (5 reviews)
Hilary Adams Counselling,http://hilarycounselling.com/,Mental Health,,hilaryadamscounselling@gmail.com,07765 357879,https://www.linkedin.com/in/hilary-adams-ma-fda-bacp-regd-b5283a79,"Bridge St, Godalming GU7 1HL, UK",,Google Places,9,Counselling is a client-facing health practice that fits well in a professional and quiet space.,wellness,
Wellbeing Therapy,,Health & Wellness,,,07903 225287,,"Ockford Ridge, Godalming GU7 2NN, UK",,Google Places,8,Suitable for client-facing health/wellness practices,wellness,
Ali Merrett,http://www.alimerrett.com/,Health & Wellness,,,07554 420950,,"Cherry Tree Ln, Godalming GU7 3RR, UK",,Google Places,6,"Potentially suitable as a wellness business, but needs more details on specific services offered.",wellness,5/5 (1 reviews)
Lalida Therapy,http://www.lalidatherapy.com/,Therapy,,,,,"Bridge St, Godalming GU7 1HW, UK",,Google Places,9,"Lalida Therapy fits well as a client-facing health and wellness practice, suitable for therapeutic services.",wellness,
James Murphy - Cognitive Behavioural Therapist,,Mental health professionals,,,07874 369127,,"Quaker Meeting House the Mint, Godalming GU7 1HB, UK",,Google Places,9,"Cognitive Behavioural Therapy requires a quiet, professional space for client sessions.",wellness,
Suzanna De Silva - Silva Counselling,http://www.silvacounselling.co.uk/,Counselling,,,07471 213413,,"Brook, Godalming GU8 5UQ, UK",,Google Places,9,"Counselling services require a quiet, professional space for client sessions.",wellness,5/5 (3 reviews)
Vanessa Edwards Hypnotherapy,http://www.vanessaedwardshypnotherapy.co.uk/,Hypnotherapy,,,07523 101952,,"Godalming GU7 1SU, UK",,Google Places,8,Hypnotherapy is a client-facing health practice that fits well in a professional and quiet space.,wellness,5/5 (4 reviews)
Stella Goddard Counselling Within the Eaves,https://www.stellagoddard.com/,Mental health professionals,,stella@stellagoddard.com,07727 863274,,"Catteshall Rd, Godalming GU7 1NJ, UK",,Google Places,9,"Counselling services require a quiet, professional space for client interactions.",wellness,
Kate Jones Body Psychotherapy,https://www.katejonesbodypsychotherapy.co.uk/,Psychotherapy,,,07917 577006,,"Wiggins Yard, Godalming GU7 1HW, UK",,Google Places,9,Suitable for client-facing therapeutic practice in a quiet space,wellness,
Mobile Psychotherapy and Counselling,,Psychotherapy and Counselling,,,07725 569047,,"121 Brighton Rd, Godalming GU7 1PW, UK",,Google Places,9,Ideal for client-facing mental health services in a quiet professional space.,wellness,
Berkeley House,https://www.sabp.nhs.uk/,Public Health,,,01483 528100,http://www.linkedin.com/company/nhs-surrey-and-borders-partnership,"Surrey and Borders Partnership NHS Foundation Trust, Berkeley House",,Google Places,2,NHS or public sector clinics are not suitable for Unit 8,clinic-target,2.5/5 (8 reviews)
Surrey Healthcare Clinic,https://surreyhealthcareclinic.com/,health clinic,,,,,"54 Quarry St, Guildford GU1 3UA, UK",,Google Places,8,Suitable as a health clinic with client-facing services,clinic-target,
Surrey Psychiatry,https://drjogeeandonlinedbt.janeapp.co.uk/locations/dr-jo-gee-psychiatry-surrey/book,Psychiatry,,pa@surreypsychiatry.co.uk,07749 674096,,"Parklands, Guildford GU2 9JX, UK",,Google Places,9,Suitable for mental health services in a professional setting,wellness,5/5 (3 reviews)
Farnham Road Hospital,http://www.sabp.nhs.uk/,NHS clinic,,,0300 555 5222,http://www.linkedin.com/company/nhs-surrey-and-borders-partnership,"Farnham Rd, Guildford GU2 7LX",,Google Places,2,NHS public sector clinic not suitable for small professional space,clinic-target,2.3/5 (35 reviews)
Community Mental Health Recovery Service Guildford,https://www.sabp.nhs.uk/our-services/mental-health/community-services/CMHRSguildford,Mental Health Services,,asc.infoandadvice@surreycc.gov.uk,01483 443551,http://www.linkedin.com/company/nhs-surrey-and-borders-partnership,"Redwood Centre, Farnham Road Hospital, Guildford GU2 7LX",,Google Places,1,"NHS public sector clinic, not suitable for private professional space",clinic-target,1.9/5 (15 reviews)
Dr Melanie Orchard - Clinical Psychologist,http://www.drmelanieorchard.co.uk/,Psychotherapy,,contact@drmelanieorchard.co.uk,07710 528074,,"The Lodge House, Godalming GU7 1NJ, UK",,Google Places,9,"Clinical psychologist requires a quiet, professional space for client consultations.",wellness,
Flourish Counselling - Sarah Child,http://flourishcounselling.net/,Mental Health,,,07990 966634,,"Catteshall Rd, Godalming GU7 1NJ, UK",,Google Places,9,Counselling is a client-facing health practice that fits well in a professional and quiet space.,wellness,
Surrey & Borders Partnership NHS Trust,http://www.sabp.nhs.uk/,Public Health,,,0300 555 5222,http://www.linkedin.com/company/nhs-surrey-and-borders-partnership,"65 Cranley Rd, Guildford GU1 2JW, UK",,Google Places,2,NHS trust not suitable for small professional space,clinic-target,5/5 (1 reviews)
The Psychology Partnership Ltd,,Psychotherapy,,,01483 416222,,"Hamble House Meadrow, Godalming GU7 3HJ, UK",,Google Places,9,Suitable for client-facing mental health services in a professional space,wellness,
Dr Jo Gee Psychotherapy,https://www.drjogeepsychotherapy.co.uk/,Psychotherapy,Dr Jo Gee,pa@drjogeepsychotherapy.co.uk,01483 343681,https://uk.linkedin.com/in/drjogeepsychotherapy,"Dr Jo Gee Psychotherapy 3 Saxton, Guildford GU2 9JX, UK",,Google Places,9,Suitable for client-facing mental health practice in a quiet space,clinic-target,4.9/5 (34 reviews)
KMC Counselling,https://www.kmccounselling.co.uk/,Mental Health,,,,,"Wiggins Yard, Godalming GU7 1HW, UK",,Google Places,9,"KMC Counselling provides client-facing mental health services, making it highly suitable for a professional space.",wellness,
Eva Counselling and Psychotherapy,,Psychotherapy,,,07503 101376,,"Catteshall Rd, Godalming GU7 1NJ, UK",,Google Places,9,Ideal for client-facing therapy sessions in a quiet space,wellness,
Charlotte Musgrove Counselling,http://charlottemusgrovecounselling.co.uk/,Counselling,,,07444 273463,,"Catteshall Rd, Godalming GU7 1NJ, UK",,Google Places,9,Suitable for client-facing therapeutic practices in a quiet space,wellness,
Ellen Marais Counselling & Psychotherapy,,Counselling & Psychotherapy,,,07931 502597,,"6 Wharf St, Godalming GU7 1NN, UK",,Google Places,9,Ideal for client-facing therapeutic practices in a quiet space.,wellness,
Trish Morgan Counselling,http://www.trishmorgancounselling.co.uk/,Mental Health,,,07751 051744,,"Catteshall Rd, Godalming GU7 1NJ, UK",,Google Places,9,Counselling is a client-facing health practice that fits well in a professional and quiet space.,wellness,
Lucy Smith Pilates,http://www.facebook.com/lucysmithpilates,Pilates studio,,,,,"1 High St, Godalming GU7 1AZ, UK",,Google Places,8,Suitable for small group classes in a professional setting,wellness,5/5 (1 reviews)
Nicola Jane Pilates,http://www.nicolajanepilates.com/,Pilates,,,07917 871336,,"7 Woodcote, Godalming GU7 2EG, UK",,Google Places,7,Small pilates studio suitable for client-facing wellness practices,wellness,5/5 (28 reviews)
FRAMEWORK PILATES - Reformer Studio,https://www.frameworkpilates.co.uk/,Pilates Studio,,hello@frameworkpilates.co.uk,07935 968727,,"Peasmarsh, Godalming GU3 1AF, UK",,Google Places,7,Suitable for small group classes but may outgrow the space.,wellness,5/5 (66 reviews)
Well & Good,http://www.bewellgood.co.uk/,Yoga Studio,,hello@bewellgood.co.uk,01483 952071,,"1 High St, Godalming GU7 1AZ, UK",,Google Places,9,"Well & Good is a yoga studio, which fits well in a small, professional space for group classes.",wellness,5/5 (41 reviews)
Pilates by Georgia,https://www.pbgpilates.com/,Pilates Studio,,,,,"Milford, Godalming GU8 5JJ, UK",,Google Places,8,Small pilates studio suitable for client-facing wellness practices,wellness,5/5 (23 reviews)
West Surrey Pilates,http://www.westsurreypilates.co.uk/,Pilates Studio,,,07767 811074,,"Milford, Godalming GU8 5BP, UK",,Google Places,8,Small pilates studio suitable for client-facing wellness practices,wellness,5/5 (3 reviews)
